Su [Mpa],Sy [Mpa],E [GPa],G [GPa],Mu [/],Ro [Kg/m3],Label
421,314,207000,79000,0.3,7860,Steel
424,324,207000,79000,0.3,7860,Steel
386,284,207000,79000,0.3,7860,Steel
448,331,207000,79000,0.3,7860,Steel
441,346,207000,79000,0.3,7860,Steel
395,295,207000,79000,0.3,7860,Steel
503,359,207000,79000,0.3,7860,Steel
483,359,207000,79000,0.3,7860,Steel
450,317,207000,79000,0.3,7860,Steel
552,345,207000,79000,0.3,7860,Steel
517,345,207000,79000,0.3,7860,Steel
464,341,207000,79000,0.3,7860,Steel
848,648,207000,79000,0.3,7860,Steel
621,414,207000,79000,0.3,7860,Steel
590,374,207000,79000,0.3,7860,Steel
519,353,207000,79000,0.3,7860,Steel
779,593,207000,79000,0.3,7860,Steel
724,414,207000,79000,0.3,7860,Steel
748,427,207000,79000,0.3,7860,Steel
636,365,207000,79000,0.3,7860,Steel
979,724,207000,79000,0.3,7860,Steel
814,483,207000,79000,0.3,7860,Steel
776,421,207000,79000,0.3,7860,Steel
626,372,207000,79000,0.3,7860,Steel
1103,779,207000,79000,0.3,7860,Steel
965,586,207000,79000,0.3,7860,Steel
1010,524,207000,79000,0.3,7860,Steel
615,376,207000,79000,0.3,7860,Steel
1303,979,207000,79000,0.3,7860,Steel
965,572,207000,79000,0.3,7860,Steel
1014,500,207000,79000,0.3,7860,Steel
657,379,207000,79000,0.3,7860,Steel
1289,827,207000,79000,0.3,7860,Steel
487,305,207000,79000,0.3,7860,Steel
467,303,207000,79000,0.3,7860,Steel
429,279,207000,79000,0.3,7860,Steel
521,316,207000,79000,0.3,7860,Steel
477,319,207000,79000,0.3,7860,Steel
450,284,207000,79000,0.3,7860,Steel
627,379,207000,79000,0.3,7860,Steel
669,396,207000,79000,0.3,7860,Steel
584,345,207000,79000,0.3,7860,Steel
1082,938,207000,79000,0.3,7860,Steel
676,359,207000,79000,0.3,7860,Steel
707,405,207000,79000,0.3,7860,Steel
598,353,207000,79000,0.3,7860,Steel
1634,1213,207000,79000,0.3,7860,Steel
703,421,207000,79000,0.3,7860,Steel
667,400,207000,79000,0.3,7860,Steel
584,346,207000,79000,0.3,7860,Steel
876,627,207000,79000,0.3,7860,Steel
836,558,207000,79000,0.3,7860,Steel
703,436,207000,79000,0.3,7860,Steel
1806,1593,207000,79000,0.3,7860,Steel
891,600,207000,79000,0.3,7860,Steel
689,422,207000,79000,0.3,7860,Steel
1027,758,207000,79000,0.3,7860,Steel
1800,1662,207000,79000,0.3,7860,Steel
669,436,207000,79000,0.3,7860,Steel
560,360,207000,79000,0.3,7860,Steel
1627,1462,207000,79000,0.3,7860,Steel
1020,655,207000,79000,0.3,7860,Steel
655,417,207000,79000,0.3,7860,Steel
1772,1641,207000,79000,0.3,7860,Steel
1155,734,207000,79000,0.3,7860,Steel
729,379,207000,79000,0.3,7860,Steel
1931,1724,207000,79000,0.3,7860,Steel
793,464,207000,79000,0.3,7860,Steel
579,425,207000,79000,0.3,7860,Steel
1279,862,207000,79000,0.3,7860,Steel
745,472,207000,79000,0.3,7860,Steel
1875,1675,207000,79000,0.3,7860,Steel
574,366,207000,79000,0.3,7860,Steel
512,372,207000,79000,0.3,7860,Steel
755,484,207000,79000,0.3,7860,Steel
681,464,207000,79000,0.3,7860,Steel
1744,1407,207000,79000,0.3,7860,Steel
1613,1517,207000,79000,0.3,7860,Steel
793,472,207000,79000,0.3,7860,Steel
572,293,207000,79000,0.3,7860,Steel
1793,1641,207000,79000,0.3,7860,Steel
870,529,207000,79000,0.3,7860,Steel
676,357,207000,79000,0.3,7860,Steel
1944,1731,207000,79000,0.3,7860,Steel
957,531,207000,79000,0.3,7860,Steel
722,276,207000,79000,0.3,7860,Steel
2220,1793,207000,79000,0.3,7860,Steel
939,615,207000,79000,0.3,7860,Steel
667,412,207000,79000,0.3,7860,Steel
1931,1689,207000,79000,0.3,7860,Steel
633,357,207000,79000,0.3,7860,Steel
536,385,207000,79000,0.3,7860,Steel
650,429,207000,79000,0.3,7860,Steel
564,372,207000,79000,0.3,7860,Steel
1641,1503,207000,79000,0.3,7860,Steel
1862,1669,207000,79000,0.3,7860,Steel
1024,688,207000,79000,0.3,7860,Steel
715,386,207000,79000,0.3,7860,Steel
1937,1675,207000,79000,0.3,7860,Steel
1634,1551,207000,79000,0.3,7860,Steel
929,607,207000,79000,0.3,7860,Steel
695,415,207000,79000,0.3,7860,Steel
1999,1655,207000,79000,0.3,7860,Steel
933,579,207000,79000,0.3,7860,Steel
774,486,207000,79000,0.3,7860,Steel
2103,2048,207000,79000,0.3,7860,Steel
1758,1503,207000,79000,0.3,7860,Steel
907,571,207000,79000,0.3,7860,Steel
820,440,207000,79000,0.3,7860,Steel
793,379,193000,743000,0.3,8030,Steel
862,517,193000,743000,0.3,8030,Steel
1034,758,193000,743000,0.3,8030,Steel
1207,931,193000,743000,0.3,8030,Steel
1276,965,193000,743000,0.3,8030,Steel
724,379,193000,743000,0.3,8030,Steel
862,517,193000,743000,0.3,8030,Steel
758,276,193000,743000,0.3,8030,Steel
862,517,193000,743000,0.3,8030,Steel
1034,758,193000,743000,0.3,8030,Steel
1207,931,193000,743000,0.3,8030,Steel
1276,965,193000,743000,0.3,8030,Steel
621,255,193000,743000,0.3,8030,Steel
862,517,193000,743000,0.3,8030,Steel
655,276,193000,743000,0.3,8030,Steel
621,241,193000,743000,0.3,8030,Steel
586,241,193000,743000,0.3,8030,Steel
552,207,193000,743000,0.3,8030,Steel
586,255,193000,743000,0.3,8030,Steel
586,241,193000,743000,0.3,8030,Steel
621,276,193000,743000,0.3,8030,Steel
655,276,193000,743000,0.3,8030,Steel
689,345,193000,743000,0.3,8030,Steel
586,241,193000,743000,0.3,8030,Steel
538,207,193000,743000,0.3,8030,Steel
621,276,193000,743000,0.3,8030,Steel
600,241,193000,743000,0.3,8030,Steel
634,241,193000,743000,0.3,8030,Steel
634,241,193000,743000,0.3,8030,Steel
517,276,200000,769000,0.3,8030,Steel
1310,1000,200000,769000,0.3,8030,Steel
483,276,200000,769000,0.3,8030,Steel
517,276,200000,769000,0.3,8030,Steel
1310,1000,200000,769000,0.3,8030,Steel
827,655,200000,769000,0.3,8030,Steel
1379,1034,200000,769000,0.3,8030,Steel
517,276,200000,769000,0.3,8030,Steel
1310,1000,200000,769000,0.3,8030,Steel
655,345,200000,769000,0.3,8030,Steel
1586,1344,200000,769000,0.3,8030,Steel
517,310,200000,769000,0.3,8030,Steel
552,379,200000,769000,0.3,8030,Steel
862,655,200000,769000,0.3,8030,Steel
1413,1069,200000,769000,0.3,8030,Steel
724,414,200000,769000,0.3,8030,Steel
1793,1655,200000,769000,0.3,8030,Steel
758,448,200000,769000,0.3,8030,Steel
1965,1896,200000,769000,0.3,8030,Steel
552,345,200000,769000,0.3,8030,Steel
483,207,200000,769000,0.3,8030,Steel
483,207,200000,769000,0.3,8030,Steel
138,138,80000,32000,0.25,7160,Grey Cast Iron
172,172,98000,39000,0.25,7160,Grey Cast Iron
207,207,100000,40000,0.25,7160,Grey Cast Iron
241,241,110000,44000,0.25,7160,Grey Cast Iron
276,276,117000,47000,0.25,7160,Grey Cast Iron
345,345,124000,50000,0.25,7160,Grey Cast Iron
414,414,137000,55000,0.25,7160,Grey Cast Iron
276,207,172000,68000,0.27,7160,Malleable Cast Iron
414,317,172000,68000,0.27,7160,Malleable Cast Iron
552,427,172000,68000,0.27,7160,Malleable Cast Iron
689,538,172000,68000,0.27,7160,Malleable Cast Iron
414,276,159000,66000,0.2,7160,Nodular Cast Iron
552,365,159000,66000,0.2,7160,Nodular Cast Iron
689,455,159000,66000,0.2,7160,Nodular Cast Iron
827,552,159000,66000,0.2,7160,Nodular Cast Iron
172,62,108000,40000,0.35,8930,Copper
365,248,108000,40000,0.35,8930,Copper
352,276,108000,40000,0.35,8930,Copper
634,469,108000,40000,0.35,8930,Copper
221,69,100000,37000,0.34,8500,Red Brass
241,69,100000,37000,0.34,8500,Red Brass
255,117,100000,37000,0.34,8500,Red Brass
241,110,100000,37000,0.34,8500,Red Brass
241,97,100000,37000,0.34,8500,Semi-Red Brass
234,97,100000,37000,0.34,8500,Semi-Red Brass
241,97,100000,37000,0.34,8500,Semi-Red Brass
241,97,100000,37000,0.34,8500,Semi-Red Brass
262,90,100000,37000,0.34,8500,Yellow Brass
234,83,100000,37000,0.34,8500,Yellow Brass
414,159,100000,37000,0.34,8500,Yellow Brass
345,124,100000,37000,0.34,8500,Yellow Brass
379,207,100000,37000,0.34,8500,Yellow Brass
655,345,120000,45000,0.31,8800,Manganese Bronze
655,331,120000,45000,0.31,8800,Manganese Bronze
793,572,120000,45000,0.31,8800,Manganese Bronze
448,172,120000,45000,0.31,8800,Manganese Bronze
490,193,120000,45000,0.31,8800,Manganese Bronze
586,290,120000,45000,0.31,8800,Manganese Bronze
565,262,120000,45000,0.31,8800,Manganese Bronze
379,172,120000,45000,0.31,8800,Brass
379,165,120000,45000,0.31,8800,Silicon Bronze
462,207,120000,45000,0.31,8800,Silicon Bronze
455,221,120000,45000,0.31,8800,Silicon Bronze
586,345,120000,45000,0.31,8800,Silicon Bronze
483,241,120000,45000,0.31,8800,Silicon Bronze
262,110,120000,45000,0.31,8800,Tin Bronze
310,145,120000,45000,0.31,8800,Tin Bronze
310,152,120000,45000,0.31,8800,Tin Bronze
303,152,120000,45000,0.31,8800,Tin Bronze
276,138,120000,45000,0.31,8800,Tin Bronze
221,172,120000,45000,0.31,8800,Tin Bronze
241,172,120000,45000,0.31,8800,Tin Bronze
241,207,120000,45000,0.31,8800,Tin Bronze
303,152,120000,45000,0.31,8800,Tin Bronze
303,152,120000,45000,0.31,8800,Tin Bronze
276,138,120000,45000,0.31,8800,Tin Bronze
276,138,120000,45000,0.31,8800,Tin Bronze
303,138,120000,45000,0.31,8800,Tin Bronze
303,138,120000,45000,0.31,8800,Tin Bronze
290,145,120000,45000,0.31,8800,Tin Bronze
276,207,120000,45000,0.31,8800,Tin Bronze
324,179,120000,45000,0.31,8800,Tin Bronze
241,124,120000,45000,0.31,8800,Tin Bronze
221,110,120000,45000,0.31,8800,Tin Bronze
221,110,120000,45000,0.31,8800,Tin Bronze
241,124,120000,45000,0.31,8800,Tin Bronze
207,110,120000,45000,0.31,8800,Tin Bronze
221,152,120000,45000,0.31,8800,Tin Bronze
186,90,120000,45000,0.31,8800,Tin Bronze
221,110,120000,45000,0.31,8800,Tin Bronze
172,83,120000,45000,0.31,8800,Tin Bronze
345,159,120000,45000,0.31,8800,Nickel-Tin Bronze
310,159,120000,45000,0.31,8800,Nickel-Tin Bronze
552,186,120000,45000,0.32,8800,Aluminum Bronze
517,186,120000,45000,0.32,8800,Aluminum Bronze
586,241,120000,45000,0.32,8800,Aluminum Bronze
689,303,120000,45000,0.32,8800,Aluminum Bronze
517,234,120000,45000,0.32,8800,Aluminum Bronze
655,310,120000,45000,0.32,8800,Aluminum Bronze
655,262,120000,45000,0.32,8800,Aluminum Bronze
310,172,100000,37000,0.34,8500,Copper-Nickel
517,379,100000,37000,0.34,8500,Copper-Nickel
469,255,100000,37000,0.34,8500,Copper-Nickel
758,483,100000,37000,0.34,8500,Copper-Nickel
241,117,100000,37000,0.34,8500,Nickel Silver
262,117,100000,37000,0.34,8500,Nickel Silver
310,165,100000,37000,0.34,8500,Nickel Silver
379,207,100000,37000,0.34,8500,Nickel Silver
655,379,100000,37000,0.34,8500,Special Alloy
455,234,100000,37000,0.34,8500,Special Alloy
483,276,100000,37000,0.34,8500,Special Alloy
379,172,100000,37000,0.34,8500,Special Alloy
448,221,100000,37000,0.34,8500,Special Alloy
221,69,108000,40000,0.35,8930,Copper
200,41,108000,40000,0.35,8930,Copper
276,124,108000,40000,0.35,8930,Copper
359,303,108000,40000,0.35,8930,Copper
441,372,108000,40000,0.35,8930,Copper
483,448,108000,40000,0.35,8930,Copper
241,48,108000,40000,0.35,8930,Copper
276,97,108000,40000,0.35,8930,Copper
483,221,108000,40000,0.35,8930,Copper
469,172,108000,40000,0.35,8930,Copper
310,172,108000,40000,0.35,8930,Copper
234,97,108000,40000,0.35,8930,Copper
262,62,108000,40000,0.35,8930,Copper
262,138,108000,40000,0.35,8930,Copper
248,69,108000,40000,0.35,8930,Copper
255,76,108000,40000,0.35,8930,Copper
310,165,108000,40000,0.35,8930,Copper
552,448,108000,40000,0.35,8930,Copper
234,69,108000,40000,0.35,8930,Copper
255,69,105000,40000,0.32,8800,Bronze
269,69,105000,40000,0.32,8800,Red Brass
290,83,105000,40000,0.32,8800,Brass
303,76,105000,40000,0.32,8800,Brass
317,97,105000,40000,0.32,8800,Yellow Brass
372,145,105000,40000,0.32,8800,Unspecified
255,83,105000,40000,0.32,8800,Bronze
324,103,105000,40000,0.32,8800,Brass
338,117,105000,40000,0.32,8800,Brass
310,90,105000,40000,0.32,8800,Brass
372,138,105000,40000,0.32,8800,Unspecified
414,138,105000,40000,0.32,8800,Bronze
269,83,105000,40000,0.32,8800,Copper
290,90,105000,40000,0.32,8800,Copper
269,76,105000,40000,0.32,8800,Copper
283,83,105000,40000,0.32,8800,Copper
317,117,105000,40000,0.32,8800,Copper
296,103,105000,40000,0.32,8800,Copper
310,124,105000,40000,0.32,8800,Copper
317,124,105000,40000,0.32,8800,Copper
310,103,105000,40000,0.32,8800,Copper
317,110,105000,40000,0.32,8800,Copper
331,124,105000,40000,0.32,8800,Copper
379,172,105000,40000,0.32,8800,Copper
386,172,105000,40000,0.32,8800,Copper
393,172,105000,40000,0.32,8800,Copper
276,97,105000,40000,0.32,8800,Copper
324,131,105000,40000,0.32,8800,Copper
317,345,105000,40000,0.32,8800,Copper
379,165,105000,40000,0.32,8800,Copper
455,193,105000,40000,0.32,8800,Copper
303,131,105000,40000,0.32,8800,Copper
414,186,105000,40000,0.32,8800,Copper
359,117,105000,40000,0.32,8800,Copper
483,207,105000,40000,0.32,8800,Copper
524,228,105000,40000,0.32,8800,Copper
483,152,105000,40000,0.32,8800,Copper
552,269,105000,40000,0.32,8800,Copper
634,338,105000,40000,0.32,8800,Copper
517,241,105000,40000,0.32,8800,Copper
621,276,105000,40000,0.32,8800,Copper
689,379,105000,40000,0.32,8800,Copper
621,345,105000,40000,0.32,8800,Copper
621,310,105000,40000,0.32,8800,Copper
565,372,105000,40000,0.32,8800,Copper
517,241,105000,40000,0.32,8800,Copper
276,103,105000,40000,0.32,8800,Copper
386,145,105000,40000,0.32,8800,Copper
316,83,105000,40000,0.32,8800,Copper
483,234,105000,40000,0.32,8800,Copper
448,207,105000,40000,0.32,8800,Copper
414,186,105000,40000,0.32,8800,Copper
565,379,105000,40000,0.32,8800,Copper
565,359,105000,40000,0.32,8800,Copper
552,276,105000,40000,0.32,8800,Copper
262,276,105000,40000,0.32,8800,Copper
303,110,105000,40000,0.32,8800,Copper
338,90,105000,40000,0.32,8800,Copper
372,138,105000,40000,0.32,8800,Copper
317,124,105000,40000,0.32,8800,Copper
379,152,105000,40000,0.32,8800,Copper
345,103,105000,40000,0.32,8800,Copper
338,124,105000,40000,0.32,8800,Copper
386,172,105000,40000,0.32,8800,Copper
365,124,105000,40000,0.32,8800,Copper
359,124,105000,40000,0.32,8800,Copper
621,586,105000,40000,0.32,8800,Copper
414,186,105000,40000,0.32,8800,Copper
365,159,105000,40000,0.32,8800,Copper
414,345,73000,26000,0.33,2700,Aluminum
310,193,73000,26000,0.33,2700,Aluminum
131,83,73000,26000,0.33,2700,Aluminum
221,138,73000,26000,0.33,2700,Aluminum
